loss,mape,val_loss,val_mape
0.0837300568819046,4068600.0,0.09263884276151657,7107089.5
0.08372151106595993,4099014.25,0.09247748553752899,6912248.5
0.08365264534950256,4086253.25,0.0925523042678833,7051357.5
0.0836845338344574,4088292.5,0.09247404336929321,6915484.0
0.08370666205883026,4084289.5,0.09250018745660782,6999997.5
0.083682119846344,4100713.25,0.0924898311495781,6881611.0
0.08372538536787033,4101709.5,0.09249010682106018,6886970.0
0.08362436294555664,4086539.25,0.09250172227621078,6868723.5
0.08367296308279037,4092805.75,0.09248140454292297,6945880.0
0.08366718143224716,4099074.5,0.09252526611089706,6841051.5
