loss,mape,val_loss,val_mape
0.11154463142156601,3640490.75,0.08484574407339096,4193332.75
0.10619504004716873,4072000.25,0.09707260131835938,4762154.0
0.10234030336141586,3849838.75,0.1026206687092781,4929403.0
0.09972462058067322,3749166.5,0.10024017840623856,4860731.0
0.09554117918014526,3790807.75,0.08245039731264114,3850329.25
0.09339722990989685,3812524.0,0.08251906931400299,3718284.0
0.09075868874788284,3761994.75,0.08386895805597305,3497168.75
0.08987527340650558,3766535.0,0.08349201828241348,3539344.25
0.08831557631492615,3825772.75,0.08545410633087158,4238047.0
0.08701860904693604,3800706.5,0.08247116953134537,3860236.0
