loss,mape,val_loss,val_mape
0.09220358729362488,3170745.75,0.09168677031993866,4430976.0
0.08725586533546448,3067956.25,0.09001689404249191,5289610.5
0.08624141663312912,3147436.25,0.08889409899711609,5154008.0
0.0857904702425003,3101247.25,0.0891776755452156,5197283.5
0.08544670790433884,3144181.75,0.08915233612060547,4805463.5
0.08504091203212738,3152943.25,0.08858366310596466,4868548.5
0.08507011085748672,3135130.75,0.08844266086816788,4817625.0
0.08491208404302597,3132542.25,0.08886145055294037,4804248.5
0.0848613902926445,3101218.75,0.08833827823400497,4951757.5
0.08478062599897385,3108420.75,0.08881252259016037,4877685.0
