loss,mape,val_loss,val_mape
0.08456125110387802,3230662.75,0.08972061425447464,2938759.25
0.08451064676046371,3233510.75,0.08946734666824341,2960035.25
0.08449532091617584,3236013.25,0.08935585618019104,3017792.5
0.08453278988599777,3237317.0,0.08952971547842026,2976636.75
0.08451811969280243,3246642.0,0.0898415669798851,2901703.5
0.08452402055263519,3231231.5,0.08954224735498428,2938550.0
0.08444090932607651,3237718.75,0.0894579216837883,2953671.25
0.08447258174419403,3231747.75,0.08932290971279144,2991314.5
0.08448497205972672,3228377.5,0.08945532143115997,2958179.5
0.08448857069015503,3232341.5,0.08948596566915512,2949332.0
