loss,mape,val_loss,val_mape
0.09362585842609406,4568268.5,0.078549824655056,3013835.25
0.09031457453966141,4621903.0,0.07845474779605865,2987800.5
0.08959359675645828,4498439.5,0.07860878854990005,3026209.25
0.08796865493059158,4598209.0,0.07843448221683502,2980066.0
0.08744781464338303,4533810.0,0.07850757241249084,3003116.0
0.08670920133590698,4514780.0,0.07845024019479752,2985804.25
0.08568530529737473,4478406.5,0.07850555330514908,3002562.75
0.08578123897314072,4559081.5,0.07842200249433517,2974573.0
0.08591660112142563,4517084.0,0.07847793400287628,2994790.0
0.08546169102191925,4538732.5,0.07845654338598251,2987961.5
