loss,mape,val_loss,val_mape
0.08509386330842972,4107701.25,0.08472412824630737,4106885.0
0.08470737189054489,4112987.25,0.08473721891641617,4081058.5
0.08470523357391357,4112718.25,0.0847252756357193,4120711.25
0.08470407873392105,4111734.75,0.08472409844398499,4114576.5
0.084703229367733,4111675.5,0.08474578708410263,4072579.5
0.08470278978347778,4110927.75,0.08473385125398636,4136897.25
0.08470109850168228,4112077.0,0.08472441881895065,4116901.25
0.08470269292593002,4111907.5,0.08472398668527603,4108214.0
0.0847024992108345,4111487.75,0.08472561836242676,4121674.75
0.08470151573419571,4111922.5,0.08472395688295364,4109614.25
