loss,mape,val_loss,val_mape
0.08472629636526108,4113462.5,0.0845731794834137,4078951.5
0.08470959961414337,4113582.5,0.08457418531179428,4086138.0
0.08470863848924637,4113318.5,0.0845782458782196,4074542.0
0.0847080647945404,4113227.25,0.08457458764314651,4082113.25
0.0847078338265419,4112597.25,0.08457312732934952,4092177.0
0.0847083032131195,4112581.25,0.08457376807928085,4090609.5
0.08470859378576279,4113435.75,0.08457764238119125,4076245.25
0.08470888435840607,4112568.25,0.084577776491642,4110266.25
0.084709033370018,4112767.5,0.08457887172698975,4073009.5
0.08470887690782547,4112470.5,0.08457333594560623,4094190.0
