Stop_IDs,Site Description,Site Type,Latitude,Longitude,Neigbhours
8809,Sheppard Ave E/Brimley Rd,INT,43.787607,-79.2683765,7785;9844;9823
9844,Sheppard Ave E/Midland Ave,INT,43.7853747,-79.2786488,8809;5760;3201;4379
5760,Sheppard Ave E/Kennedy Rd,INT,43.7833531,-79.2882833,3201;3713;8328;7785;8809;9844;4378
3201,Sheppard Ave E/Brichmount Rd,INT,43.7810913,-79.2981109,3713;8328;8809;9844;5760;8985
3713,Sheppard Ave E/Warden Ave,INT,43.7788139,-79.3079385,7950;8328;3201;3713;3220
8328,Sheppard Ave E/Victoria Park Ave,INT,43.7752971,-79.3230653,3713;3220;9883;2212;6327;4292;7882
3220,Ellesmere Rd/Victoria Park Ave,INT,43.7580108,-79.3154738,8328;9883;8979;3713;2212;6327;4292;7882
9883,Victoria Park Ave/Lawrence Ave E,INT,43.7421059,-79.3098418,9883;3888;3220;2212;6327;4292;7882
2212,Victoria Park AveÂ /Eglinton Ave E,INT,43.7248128,-79.3027217,2212;8037;9883;6327;4292;7882
6327,Victoria Park Ave/St Clair Ave E,INT,43.7088122,-79.2959908,6599;5577;3531;7882;4292
4292,Victoria Park Ave/Danforth Ave,INT,43.6912475,-79.2884377,7882;6327;4086
7882,Kingston Rd/Victoria Park Ave,INT,43.6808821,-79.2840551,4821;4292;3561
4821,Kingston Rd/Warden Ave,INT,43.6877777,-79.2709466,3561;4316;4080
4316,Kingston Rd/Brichmount Rd,INT,43.6930484,-79.2623428,4086;3561;4821
8924,Kingston Rd/Danforth Ave,INT,43.7025706,-79.2535538,4316;4086;6886
6886,Kingston Rd/Midland Ave,INT,43.7111512,-79.2481912,8924;3814;4574
3814,Kingston Rd/Brimley Rd,INT,43.7182525,-79.2403747,3306;1509;6886
3306,Kingston Rd/St Clair Ave E,INT,43.7218852,-79.2362119,3814;1509;6900
6900,Kingston Rd/McCown Rd,INT,43.7251204,-79.2324661,4863;3518;3306
4863,Kingston Rd/Markham Rd,INT,43.7388318,-79.2170956,2816;6085;6900
2816,Kingston Rd/Eglinton Ave E,INT,43.7437768,-79.2116775,4863;8450;6085
8450,Kingston Rd/SGC Rd,INT,43.7463631,-79.2091453,4863;6085;5383;7518
5383,Kingston Rd/Lawrence Ave E,INT,43.7676645,-79.1895718,5988;1115
7950,Ellesmere Rd/Warden Ave,INT,43.7612101,-79.3008033,2212;8985;3713;6963
8979,Ellesmere Rd/Pharmacy Ave,INT,43.7590427,-79.3102382,7950;3220;3888
8985,Ellesmere Rd/Brichmount Rd,INT,43.7634284,-79.2913983,3201;7950;4378;6966
4378,Ellesmere Rd/Kennedy Rd,INT,43.7658576,-79.2810537,8985;4379;5760;9530
4379,Ellesmere Rd/Midland Ave,INT,43.7679461,-79.2711527,4378;7455;9844;7488
7455,Ellesmere Rd/Brimley Rd,INT,43.77011,-79.2612715,4379;1826;8809;1858
1826,Ellesmere Rd/McCowan Rd,INT,43.7721497,-79.2514348,7455;7785;9514;5458
9514,Ellesmere Rd/Markham Rd,INT,43.7764642,-79.2317338,1826;9823;1366;3372;4908
3372,Ellesmere  Rd/SGC Rd,INT,43.7785876,-79.222231,9514;4908;9823;7518
4908,Ellesmere Rd/Orton Rd,INT,43.7797782,-79.2171511,3372;5935;3427
5935,Ellesmere Rd/Neilson Rd,INT,43.7826602,-79.2050126,6748;4908;1103
3888,Lawrence Ave E/Pharmacy Ave,INT,43.743258,-79.3046234,8979;9883;6963;8037
6963,Lawrence Ave E/Warden Ave,INT,43.7453895,-79.294785,7950;9883;6966;4974
6966,Lawrence Ave E/Brichmount Rd,INT,43.7475194,-79.2848397,6963;9530;8985;8066
9530,Lawrence Ave E/kennedy Rd,INT,43.7495298,-79.2749577,4378;8582;6966;7488
7488,Lawrence Ave E/Midland Ave,INT,43.751531,-79.2650887,9530;1858;4378;8582
1858,Lawrence Ave E/Brimley Rd,INT,43.753546,-79.2553684,7488;5458;7455;7072;8120
5458,Lawrence Ave E/McCown Rd,INT,43.7555328,-79.2454748,1826;5459;1858;1452;8120
5459,Lawrence Ave E/Bellamy Rd,INT,43.7577488,-79.2353402,5458;1366
1366,Lawrence Ave E/Markham Rd,INT,43.7598871,-79.2253147,3372;3427;1366;8450
7518,Lawrence Ave E/SGC Rd,INT,43.7618644,-79.215801,8450;3427;3372;1366
3427,Lawrence Ave E/Orton Park Rd,INT,43.7640673,-79.2056523,3427;5988;4908
5988,Lawrence Ave E/Galloway Rd,INT,43.7661526,-79.1964415,5383;3427
8037,Eglinton Ave E/Pharmacy Ave,INT,43.7256171,-79.2975539,4974;2212;3888;6327
4974,Eglinton Ave E/Warden Ave,INT,43.7280127,-79.2875655,6963;5577;8037;3531
8066,Eglinton Ave E/Brichmount Rd,INT,43.7299354,-79.2779524,3531;6966;4974;8582
8582,Eglinton Ave E/Kennedy Rd,INT,43.7324162,-79.2681677,8066;2447;9530;6097
2447,Eglinton Ave E/Midland Ave,INT,43.7345869,-79.2582114,8582;4574;1858;1509
7072,Eglinton Ave E/Brimley Rd,INT,43.7368195,-79.2481692,2447;1452;8120;1858
1452,Eglinton Ave E/Danforth Rd,INT,43.7371595,-79.2461969,8120;7072;3518
8120,Brimley Rd/Danforth Rd,INT,43.7352681,-79.24742,6599;7072;1858;7455;8809
3518,Eglinton Ave E/McCowan Rd,INT,43.7388184,-79.2384936,6900;1452;7072;6085
6085,Eglinton Ave E/Markham Rd,INT,43.74318,-79.2189499,4863;2816;3518
6599,St Clair Ave E/Pharmacy Ave,INT,43.7098509,-79.2909353,6327;5577;8037;4086
5577,St Clair Ave E/Warden Ave,INT,43.7121464,-79.2811292,3561;4974;6599;3531
3531,St Clair Ave E/Brichmount Rd,INT,43.714228,-79.2711203,5608;6097;7131;3531
6097,St Clair Ave E/Kennedy Rd,INT,43.7165699,-79.2613571,7131;4574;3531
7131,St Clair Ave E/Danforth Rd,INT,43.7169111,-79.2598551,6097;4574;3531
4574,St Clair Ave E/Midland Ave,INT,43.7187876,-79.25139,6097;7131;1509;6886
1509,St Clair Ave E/Brimley Rd,INT,43.7208967,-79.2414766,3814;8120;7072;3814
5608,Brichmount Rd/Danforth Rd,INT,43.7071006,-79.2681683,3531;4080
3561,Brichmount Rd/Danforth Ave,INT,43.697016,-79.2640215,4821;5577;4086;4080
4080,Danforth Ave/Warden Ave,INT,43.6945016,-79.2736871,4316;5608;3561;8924
4086,Danforth Ave/Pharmacy Ave,INT,43.6923562,-79.2834105,6599;4292;3561
